article_doi,venue,series_ordinal_P1545,author_name_P2093
10.5201/ipol.2016.172,IPOL,3,Javier Sánchez
10.5201/ipol.2026.578,IPOL,1,Olakunle Abawonse
10.5201/ipol.2026.578,IPOL,2,Günay Doğan
10.5201/ipol.2019.227,IPOL,1,Jean-Marie Mirebeau
10.5201/ipol.2019.227,IPOL,2,Jorg Portegies
10.5201/ipol.2011.bcms-ssdd,IPOL,1,Antoni Buades
10.5201/ipol.2011.bcms-ssdd,IPOL,2,Bartomeu Coll
10.5201/ipol.2011.bcms-ssdd,IPOL,3,Jean-Michel Morel
10.5201/ipol.2011.bcms-ssdd,IPOL,4,Catalina Sbert
10.5201/ipol.2014.71,IPOL,1,Benoît Naegel
10.5201/ipol.2014.71,IPOL,2,Nicolas Passat
10.5201/ipol.2022.393,IPOL,1,Dario Mylonopoulos
10.5201/ipol.2022.393,IPOL,2,Pasquale Cascarano
10.5201/ipol.2022.393,IPOL,3,Luca Calatroni
10.5201/ipol.2022.393,IPOL,4,Elena Loli Piccolomini
10.5201/ipol.2014.81,IPOL,1,Julie Digne
10.5201/ipol.2016.161,IPOL,1,Julie Delon
10.5201/ipol.2016.161,IPOL,2,Agnès Desolneux
10.5201/ipol.2016.161,IPOL,3,Thierry Guillemot
10.5201/ipol.2013.16,IPOL,1,Marc Lebrun
10.5201/ipol.2013.16,IPOL,2,Antoni Buades
10.5201/ipol.2013.16,IPOL,3,Jean-Michel Morel
10.5201/ipol.2023.477,IPOL,1,Bertrand Kerautret
10.5201/ipol.2023.477,IPOL,2,Phuc Ngo
10.5201/ipol.2023.477,IPOL,3,Nicolas Passat
10.5201/ipol.2023.477,IPOL,4,Hugues Talbot
10.5201/ipol.2023.477,IPOL,5,Clara Jaquet
10.5201/ipol.2018.211,IPOL,1,Jérémy Anger
10.5201/ipol.2018.211,IPOL,2,Gabriele Facciolo
10.5201/ipol.2018.211,IPOL,3,Mauricio Delbracio
10.5201/ipol.2015.123,IPOL,1,Laura Fernández Julià
10.5201/ipol.2015.123,IPOL,2,Pascal Monasse
10.5201/ipol.2015.145,IPOL,1,Joan Duran
10.5201/ipol.2015.145,IPOL,2,Antoni Buades
10.5201/ipol.2023.420,IPOL,1,Yanhao Li
10.5201/ipol.2023.420,IPOL,2,Marina Gardella
10.5201/ipol.2023.420,IPOL,3,Quentin Bammey
10.5201/ipol.2023.420,IPOL,4,Tina Nikoukhah
10.5201/ipol.2023.420,IPOL,5,Rafael Grompone von Gioi
10.5201/ipol.2023.420,IPOL,6,Miguel Colom
10.5201/ipol.2023.420,IPOL,7,Jean-Michel Morel
10.5201/ipol.2022.384,IPOL,1,Nicolas Mandroux
10.5201/ipol.2022.384,IPOL,2,Tristan Dagobert
10.5201/ipol.2022.384,IPOL,3,Sébastien Drouyer
10.5201/ipol.2022.384,IPOL,4,Rafael Grompone von Gioi
10.5201/ipol.2019.265,IPOL,1,Charles Truong
10.5201/ipol.2019.265,IPOL,2,Rémi Barrois-Müller
10.5201/ipol.2019.265,IPOL,3,Thomas Moreau
10.5201/ipol.2019.265,IPOL,4,Clément Provost
10.5201/ipol.2019.265,IPOL,5,Aliénor Vienne-Jumeau
10.5201/ipol.2019.265,IPOL,6,Albane Moreau
10.5201/ipol.2019.265,IPOL,7,Pierre-Paul Vidal
10.5201/ipol.2019.265,IPOL,8,Nicolas Vayatis
10.5201/ipol.2019.265,IPOL,9,Stéphane Buffat
10.5201/ipol.2019.265,IPOL,10,Alain Yelnik
10.5201/ipol.2019.265,IPOL,11,Damien Ricard
10.5201/ipol.2019.265,IPOL,12,Laurent Oudre
10.5201/ipol.2025.535,IPOL,1,Cyril Voisard
10.5201/ipol.2025.535,IPOL,2,Nicolas de l'Escalopier
10.5201/ipol.2025.535,IPOL,3,Damien Ricard
